max_depth,n_estimators,subsample,CrossValidationSet,Measurement,Drug,Concentration_Original,Concentration,Validation Spearman,Training MAE,Validation MAE
1,30,0.8,1,DoublingTime,NoAntimicrbial,NA,2,0.388609199,0.255480022,0.27082262
1,30,0.8,1,GrowthYield,NoAntimicrbial,NA,2,0.384163462,0.57997378,0.557224674
1,30,0.8,1,DoublingTime,CAM,0.5,1,0.067000989,0.131586939,0.136790726
1,30,0.8,1,GrowthYield,CAM,0.5,1,0.282087369,0.208694815,0.209462848
1,30,0.8,1,DoublingTime,CAM,1,2,0.076684108,0.126887537,0.144099737
1,30,0.8,1,GrowthYield,CAM,1,2,0.324383745,0.301980358,0.307932821
1,30,0.8,1,DoublingTime,CAM,2,3,0.34702663,0.202827619,0.20366283
1,30,0.8,1,GrowthYield,CAM,2,3,0.469027761,0.540847455,0.568193879
1,30,0.8,1,DoublingTime,CIP,0.002,1,0.15302189,0.11780381,0.121081821
1,30,0.8,1,GrowthYield,CIP,0.002,1,0.105196314,0.228301165,0.217798764
1,30,0.8,1,DoublingTime,CIP,0.004,2,0.259860219,0.158313286,0.169422949
1,30,0.8,1,GrowthYield,CIP,0.004,2,0.303549592,0.50080714,0.509992129
1,30,0.8,1,DoublingTime,CIP,0.008,3,0.118406923,0.117966345,0.115703697
1,30,0.8,1,GrowthYield,CIP,0.008,3,0.583644967,0.802360003,0.860284181
1,30,0.8,1,DoublingTime,CTX,0.5,1,0.367485599,0.138080492,0.143105514
1,30,0.8,1,GrowthYield,CTX,0.5,1,0.676953491,1.221711885,1.213136243
1,30,0.8,1,DoublingTime,CTX,1,2,0.36361658,0.124787866,0.128403285
1,30,0.8,1,GrowthYield,CTX,1,2,0.689513867,1.328411506,1.316249569
1,30,0.8,1,DoublingTime,CTX,2,3,0.555869066,0.153462137,0.155530549
1,30,0.8,1,GrowthYield,CTX,2,3,0.704129223,1.447472565,1.501487658
1,30,0.8,1,DoublingTime,KAN,4,1,0.004484819,0.107187651,0.109231976
1,30,0.8,1,GrowthYield,KAN,4,1,0.315554105,0.416060524,0.429153654
1,30,0.8,1,DoublingTime,KAN,8,2,0.37102672,0.156806404,0.15464437
1,30,0.8,1,GrowthYield,KAN,8,2,0.52164757,0.800749206,0.800785235
1,30,0.8,1,DoublingTime,KAN,16,3,0.481593922,0.256502606,0.240336755
1,30,0.8,1,GrowthYield,KAN,16,3,0.473647337,1.205488659,1.302522743
1,30,0.8,1,DoublingTime,TET,0.3,1,0.351293418,0.159018284,0.152937564
1,30,0.8,1,GrowthYield,TET,0.3,1,0.477346575,0.346171409,0.332945502
1,30,0.8,1,DoublingTime,TET,0.6,2,0.255796049,0.225104065,0.23221277
1,30,0.8,1,GrowthYield,TET,0.6,2,0.585787251,0.750757083,0.709677736
1,30,0.8,1,DoublingTime,TET,1.25,3,0.629380068,0.309570956,0.287864083
1,30,0.8,1,GrowthYield,TET,1.25,3,0.60935264,1.145073387,1.110465346
1,30,0.8,1,DoublingTime,TRIM,0.125,1,0.396722695,0.156436893,0.158400044
1,30,0.8,1,GrowthYield,TRIM,0.125,1,0.612903674,0.644595608,0.661167266
1,30,0.8,1,DoublingTime,TRIM,0.25,2,0.422204973,0.151935939,0.164244473
1,30,0.8,1,GrowthYield,TRIM,0.25,2,0.59381397,0.875212555,0.853192751
1,30,0.8,1,DoublingTime,TRIM,0.5,3,0.354946468,0.164550723,0.172175136
1,30,0.8,1,GrowthYield,TRIM,0.5,3,0.660533558,1.141411422,1.17499766
1,30,0.8,2,DoublingTime,NoAntimicrbial,NA,2,0.403036311,0.255367112,0.273977304
1,30,0.8,2,GrowthYield,NoAntimicrbial,NA,2,0.343122494,0.553925914,0.6216351
1,30,0.8,2,DoublingTime,CAM,0.5,1,0.081080691,0.133423047,0.137310843
1,30,0.8,2,GrowthYield,CAM,0.5,1,0.372614479,0.209406799,0.205568028
1,30,0.8,2,DoublingTime,CAM,1,2,-0.023254057,0.131655085,0.130193547
1,30,0.8,2,GrowthYield,CAM,1,2,0.316974049,0.293036471,0.320841666
1,30,0.8,2,DoublingTime,CAM,2,3,0.238556476,0.197974822,0.214060852
1,30,0.8,2,GrowthYield,CAM,2,3,0.473036369,0.533136503,0.584957176
1,30,0.8,2,DoublingTime,CIP,0.002,1,0.109476734,0.115254432,0.129134359
1,30,0.8,2,GrowthYield,CIP,0.002,1,0.089601853,0.222409022,0.236841483
1,30,0.8,2,DoublingTime,CIP,0.004,2,0.288190179,0.160495534,0.16499316
1,30,0.8,2,GrowthYield,CIP,0.004,2,0.273689902,0.506843537,0.507941493
1,30,0.8,2,DoublingTime,CIP,0.008,3,0.099927086,0.115913046,0.119787185
1,30,0.8,2,GrowthYield,CIP,0.008,3,0.581755641,0.823717589,0.816112088
1,30,0.8,2,DoublingTime,CTX,0.5,1,0.269826273,0.140163493,0.133057607
1,30,0.8,2,GrowthYield,CTX,0.5,1,0.716853404,1.222160383,1.215253766
1,30,0.8,2,DoublingTime,CTX,1,2,0.292699712,0.12591203,0.118374996
1,30,0.8,2,GrowthYield,CTX,1,2,0.708987705,1.33311135,1.293735568
1,30,0.8,2,DoublingTime,CTX,2,3,0.513903012,0.15410182,0.147443967
1,30,0.8,2,GrowthYield,CTX,2,3,0.700413629,1.465568,1.390345288
1,30,0.8,2,DoublingTime,KAN,4,1,0.015722667,0.106913142,0.108779909
1,30,0.8,2,GrowthYield,KAN,4,1,0.374772351,0.415223458,0.425116745
1,30,0.8,2,DoublingTime,KAN,8,2,0.418970679,0.153112843,0.166317215
1,30,0.8,2,GrowthYield,KAN,8,2,0.608511869,0.795933459,0.827093738
1,30,0.8,2,DoublingTime,KAN,16,3,0.548256105,0.246813877,0.269694264
1,30,0.8,2,GrowthYield,KAN,16,3,0.615368654,1.250453868,1.284090638
1,30,0.8,2,DoublingTime,TET,0.3,1,0.392474098,0.154857602,0.16542216
1,30,0.8,2,GrowthYield,TET,0.3,1,0.519140337,0.33757037,0.357928574
1,30,0.8,2,DoublingTime,TET,0.6,2,0.338139162,0.223856361,0.243054181
1,30,0.8,2,GrowthYield,TET,0.6,2,0.548126861,0.719643713,0.796971928
1,30,0.8,2,DoublingTime,TET,1.25,3,0.631846447,0.296216903,0.334659262
1,30,0.8,2,GrowthYield,TET,1.25,3,0.595802828,1.116626857,1.188556571
1,30,0.8,2,DoublingTime,TRIM,0.125,1,0.306056391,0.155610725,0.164843675
1,30,0.8,2,GrowthYield,TRIM,0.125,1,0.47596795,0.639326589,0.680892777
1,30,0.8,2,DoublingTime,TRIM,0.25,2,0.492387249,0.156292806,0.153039177
1,30,0.8,2,GrowthYield,TRIM,0.25,2,0.467889433,0.857536742,0.889687267
1,30,0.8,2,DoublingTime,TRIM,0.5,3,0.246849266,0.163247991,0.170536455
1,30,0.8,2,GrowthYield,TRIM,0.5,3,0.583573939,1.137618526,1.168765117
1,30,0.8,3,DoublingTime,NoAntimicrbial,NA,2,0.294889282,0.258132577,0.252787845
1,30,0.8,3,GrowthYield,NoAntimicrbial,NA,2,0.307927103,0.571507865,0.578751221
1,30,0.8,3,DoublingTime,CAM,0.5,1,0.055138099,0.131994911,0.134676299
1,30,0.8,3,GrowthYield,CAM,0.5,1,0.352274163,0.209329118,0.205867008
1,30,0.8,3,DoublingTime,CAM,1,2,0.103983828,0.132075787,0.129679402
1,30,0.8,3,GrowthYield,CAM,1,2,0.38870951,0.298749457,0.310645968
1,30,0.8,3,DoublingTime,CAM,2,3,0.294888549,0.202746289,0.201074789
1,30,0.8,3,GrowthYield,CAM,2,3,0.492436063,0.547788057,0.555185583
1,30,0.8,3,DoublingTime,CIP,0.002,1,0.190891069,0.118797991,0.12044948
1,30,0.8,3,GrowthYield,CIP,0.002,1,0.078196044,0.221278798,0.243430074
1,30,0.8,3,DoublingTime,CIP,0.004,2,0.231796406,0.161279659,0.162468084
1,30,0.8,3,GrowthYield,CIP,0.004,2,0.22576067,0.503478883,0.524912583
1,30,0.8,3,DoublingTime,CIP,0.008,3,0.14280315,0.115776865,0.12594494
1,30,0.8,3,GrowthYield,CIP,0.008,3,0.486740895,0.831556834,0.790635011
1,30,0.8,3,DoublingTime,CTX,0.5,1,0.312980978,0.132242248,0.156649529
1,30,0.8,3,GrowthYield,CTX,0.5,1,0.653676248,1.200618512,1.267209833
1,30,0.8,3,DoublingTime,CTX,1,2,0.337459083,0.118331438,0.142582821
1,30,0.8,3,GrowthYield,CTX,1,2,0.673303462,1.30413957,1.386146645
1,30,0.8,3,DoublingTime,CTX,2,3,0.445971269,0.147029389,0.173905904
1,30,0.8,3,GrowthYield,CTX,2,3,0.653097722,1.420487788,1.52155018
1,30,0.8,3,DoublingTime,KAN,4,1,0.083561051,0.105431738,0.111023027
1,30,0.8,3,GrowthYield,KAN,4,1,0.230700707,0.40561339,0.457224801
1,30,0.8,3,DoublingTime,KAN,8,2,0.377823575,0.154516945,0.156111673
1,30,0.8,3,GrowthYield,KAN,8,2,0.425169582,0.787477672,0.847159359
1,30,0.8,3,DoublingTime,KAN,16,3,0.487484381,0.250847779,0.253797709
1,30,0.8,3,GrowthYield,KAN,16,3,0.44951484,1.23312794,1.255500716
1,30,0.8,3,DoublingTime,TET,0.3,1,0.35357814,0.154320281,0.16723971
