max_depth,n_estimators,subsample,CrossValidations,Measurement,Drug,Concentration_Original,Concetration,Training Spearman,Validation Spearman,Training MAE,Validation MAE
1,30,0.8,1,DoublingTime,NoAntimicrbial,NA,2,0.311090684,0.403059811,0.273874306,0.276682012
1,30,0.8,1,GrowthYield,NoAntimicrbial,NA,2,0.299200796,0.2868547,0.610132873,0.593889648
1,30,0.8,1,DoublingTime,CAM,0.5,1,0.200440698,0.12734719,0.134372957,0.135718012
1,30,0.8,1,GrowthYield,CAM,0.5,1,0.386072547,0.369802544,0.210714592,0.201849074
1,30,0.8,1,DoublingTime,CAM,1,2,0.209143398,0.183481048,0.128993254,0.141219675
1,30,0.8,1,GrowthYield,CAM,1,2,0.399823059,0.366713662,0.305285548,0.307504084
1,30,0.8,1,DoublingTime,CAM,2,3,0.306160179,0.310690135,0.206450029,0.199157354
1,30,0.8,1,GrowthYield,CAM,2,3,0.484216576,0.454085762,0.558813824,0.569532314
1,30,0.8,1,DoublingTime,CIP,0.002,1,0.28406798,0.142957316,0.120661912,0.122718378
1,30,0.8,1,GrowthYield,CIP,0.002,1,0.246881114,0.157637759,0.235400192,0.218722878
1,30,0.8,1,DoublingTime,CIP,0.004,2,0.256112952,0.1346888,0.167330079,0.175575288
1,30,0.8,1,GrowthYield,CIP,0.004,2,0.307715399,0.285204757,0.518894334,0.50912578
1,30,0.8,1,DoublingTime,CIP,0.008,3,0.199080146,0.091494825,0.120333488,0.116118947
1,30,0.8,1,GrowthYield,CIP,0.008,3,0.544054185,0.573788985,0.813862384,0.832440595
1,30,0.8,1,DoublingTime,CTX,0.5,1,0.400740266,0.444627676,0.140219089,0.137675464
1,30,0.8,1,GrowthYield,CTX,0.5,1,0.751101433,0.789009107,1.103297817,1.042634321
1,30,0.8,1,DoublingTime,CTX,1,2,0.384240834,0.424797262,0.124526386,0.121117462
1,30,0.8,1,GrowthYield,CTX,1,2,0.760384273,0.789509266,1.174670884,1.128649117
1,30,0.8,1,DoublingTime,CTX,2,3,0.572871531,0.609175421,0.151777923,0.145388077
1,30,0.8,1,GrowthYield,CTX,2,3,0.76319244,0.801751401,1.26057943,1.280778664
1,30,0.8,1,DoublingTime,KAN,4,1,0.129723779,-0.006804384,0.109592367,0.108665861
1,30,0.8,1,GrowthYield,KAN,4,1,0.327839135,0.350460274,0.427392889,0.422757738
1,30,0.8,1,DoublingTime,KAN,8,2,0.453600222,0.374003677,0.158806413,0.146114357
