max_depth,n_estimators,subsample,CrossValidations,Measurement,Drug,Concentration_Original,Concetration,Training Spearman,Validation Spearman,Training MAE,Validation MAE
1,30,1,1,DoublingTime,NoAntimicrbial,NA,2,0.449611175,0.369847103,0.251511008,0.276011157
1,30,1,1,GrowthYield,NoAntimicrbial,NA,2,0.475273994,0.283797002,0.577643865,0.578638275
1,30,1,1,DoublingTime,CAM,0.5,1,0.371687954,0.090773788,0.131239952,0.134707056
1,30,1,1,GrowthYield,CAM,0.5,1,0.40401148,0.199375489,0.208158059,0.210966966
1,30,1,1,DoublingTime,CAM,1,2,0.439977111,0.097077671,0.126191602,0.143322946
1,30,1,1,GrowthYield,CAM,1,2,0.420597395,0.209641232,0.306855366,0.320592035
1,30,1,1,DoublingTime,CAM,2,3,0.4161827,0.293820117,0.201524416,0.202850381
1,30,1,1,GrowthYield,CAM,2,3,0.495553211,0.37179811,0.560293763,0.603196932
1,30,1,1,DoublingTime,CIP,0.002,1,0.417616867,0.188772448,0.11630977,0.121036388
1,30,1,1,GrowthYield,CIP,0.002,1,0.371663383,0.25779861,0.228054764,0.214304753
1,30,1,1,DoublingTime,CIP,0.004,2,0.453030007,0.191390692,0.157453021,0.173359713
1,30,1,1,GrowthYield,CIP,0.004,2,0.45782908,0.406571334,0.489290648,0.490197928
1,30,1,1,DoublingTime,CIP,0.008,3,0.383312199,0.080638403,0.116555833,0.115883835
1,30,1,1,GrowthYield,CIP,0.008,3,0.6219767,0.639852133,0.771096168,0.817018338
1,30,1,1,DoublingTime,CTX,0.5,1,0.482594359,0.381589867,0.136787352,0.140981522
1,30,1,1,GrowthYield,CTX,0.5,1,0.663239994,0.63576113,1.282782272,1.372568839
1,30,1,1,DoublingTime,CTX,1,2,0.433333224,0.256946727,0.125235669,0.128516375
1,30,1,1,GrowthYield,CTX,1,2,0.664310508,0.616254069,1.394378116,1.501673089
1,30,1,1,DoublingTime,CTX,2,3,0.569096935,0.520338997,0.152991327,0.156752402
1,30,1,1,GrowthYield,CTX,2,3,0.652814501,0.614987142,1.522420197,1.696696672
1,30,1,1,DoublingTime,KAN,4,1,0.35946655,0.109129452,0.106032694,0.107378112
1,30,1,1,GrowthYield,KAN,4,1,0.410491921,0.242454059,0.42207975,0.434711716
1,30,1,1,DoublingTime,KAN,8,2,0.512278715,0.356093779,0.156277598,0.15050408
1,30,1,1,GrowthYield,KAN,8,2,0.5452178,0.439090165,0.844810028,0.85756578
1,30,1,1,DoublingTime,KAN,16,3,0.587516234,0.460505208,0.259699763,0.243851602
1,30,1,1,GrowthYield,KAN,16,3,0.559657244,0.429316423,1.330330133,1.456082501
1,30,1,1,DoublingTime,TET,0.3,1,0.489891576,0.307199339,0.159693348,0.156244857
1,30,1,1,GrowthYield,TET,0.3,1,0.462246558,0.285249473,0.380172909,0.37103903
1,30,1,1,DoublingTime,TET,0.6,2,0.443714984,0.199799233,0.228427903,0.233670324
