alpha,CrossValidations,Measurement,Drug,Concentration_Original,Concetration,Training Spearman,Validation Spearman,Training MAE,Validation MAE
1.00E-05,1,DoublingTime,NoAntimicrbial,NA,2,0.999979693,0.302967041,0.00136087,0.310567079
1.00E-05,1,GrowthYield,NoAntimicrbial,NA,2,0.999993576,0.322605437,0.001433306,0.738844492
1.00E-05,1,DoublingTime,CAM,0.5,1,0.999918435,0.050764746,0.001319579,0.191969064
1.00E-05,1,GrowthYield,CAM,0.5,1,0.999965353,0.161937393,0.001373282,0.288459799
1.00E-05,1,DoublingTime,CAM,1,2,0.999931443,0.192237883,0.00137199,0.175213687
1.00E-05,1,GrowthYield,CAM,1,2,0.999981543,0.286377895,0.001347502,0.380696007
1.00E-05,1,DoublingTime,CAM,2,3,0.999965731,0.173744443,0.001422204,0.268551322
1.00E-05,1,GrowthYield,CAM,2,3,0.999992601,0.441715973,0.001411291,0.639029299
1.00E-05,1,DoublingTime,CIP,0.002,1,0.999912648,0.200621424,0.001382932,0.163526382
1.00E-05,1,GrowthYield,CIP,0.002,1,0.999969311,0.253464613,0.001439197,0.28226539
1.00E-05,1,DoublingTime,CIP,0.004,2,0.99994807,0.175060304,0.001387719,0.220023204
1.00E-05,1,GrowthYield,CIP,0.004,2,0.999990056,0.252864282,0.001445254,0.626386176
1.00E-05,1,DoublingTime,CIP,0.008,3,0.999907497,0.159686963,0.001356822,0.165519624
1.00E-05,1,GrowthYield,CIP,0.008,3,0.999993934,0.467596729,0.001429018,0.971608387
1.00E-05,1,DoublingTime,CTX,0.5,1,0.999945743,0.213111553,0.001338472,0.184694123
1.00E-05,1,GrowthYield,CTX,0.5,1,0.9999965,0.609701565,0.001524442,1.473377398
1.00E-05,1,DoublingTime,CTX,1,2,0.99991231,0.185847332,0.001403819,0.165255174
1.00E-05,1,GrowthYield,CTX,1,2,0.99999646,0.606948696,0.001536954,1.56100368
1.00E-05,1,DoublingTime,CTX,2,3,0.999950079,0.367747623,0.00136802,0.201677822
1.00E-05,1,GrowthYield,CTX,2,3,0.999996261,0.596670056,0.001482713,1.799310355
1.00E-05,1,DoublingTime,KAN,4,1,0.999898666,0.163264611,0.001298488,0.140855424
1.00E-05,1,GrowthYield,KAN,4,1,0.999986495,0.232654761,0.001386329,0.544154712
1.00E-05,1,DoublingTime,KAN,8,2,0.999952028,0.182468172,0.001282889,0.214530912
1.00E-05,1,GrowthYield,KAN,8,2,0.99999469,0.375979729,0.001446691,0.976974433
1.00E-05,1,DoublingTime,KAN,16,3,0.999980767,0.39273275,0.001314015,0.299922985
1.00E-05,1,GrowthYield,KAN,16,3,0.999997474,0.450764205,0.001511791,1.484630291
1.00E-05,1,DoublingTime,TET,0.3,1,0.99995348,0.201946479,0.001382799,0.21268113
1.00E-05,1,GrowthYield,TET,0.3,1,0.999983532,0.313582624,0.001317801,0.447073364
1.00E-05,1,DoublingTime,TET,0.6,2,0.999967541,0.165586972,0.001430348,0.287993025
1.00E-05,1,GrowthYield,TET,0.6,2,0.999994928,0.32001536,0.001500979,1.031718541
1.00E-05,1,DoublingTime,TET,1.25,3,0.999988126,0.495348246,0.001380508,0.372756285
1.00E-05,1,GrowthYield,TET,1.25,3,0.999996997,0.404054127,0.001580887,1.519267063
1.00E-05,1,DoublingTime,TRIM,0.125,1,0.999953321,0.263191598,0.00132061,0.203919208
1.00E-05,1,GrowthYield,TRIM,0.125,1,0.99999288,0.47239505,0.001409336,0.741942762
1.00E-05,1,DoublingTime,TRIM,0.25,2,0.999943794,0.290158358,0.001292167,0.20748365
1.00E-05,1,GrowthYield,TRIM,0.25,2,0.999995426,0.449049206,0.00140683,0.991701903
1.00E-05,1,DoublingTime,TRIM,0.5,3,0.999954375,0.195272529,0.001334102,0.216956283
1.00E-05,1,GrowthYield,TRIM,0.5,3,0.999996639,0.518920161,0.001471753,1.322106472
1.00E-05,2,DoublingTime,NoAntimicrbial,NA,2,0.999977525,0.316357826,0.001344044,0.329887366
1.00E-05,2,GrowthYield,NoAntimicrbial,NA,2,0.99999018,0.319577021,0.001446806,0.738693201
1.00E-05,2,DoublingTime,CAM,0.5,1,0.999919283,0.134528456,0.001403521,0.182924795
1.00E-05,2,GrowthYield,CAM,0.5,1,0.999968643,0.13401957,0.001397313,0.297805896
1.00E-05,2,DoublingTime,CAM,1,2,0.999924792,0.026445714,0.001379156,0.190248189
1.00E-05,2,GrowthYield,CAM,1,2,0.999981996,0.317487969,0.001362132,0.371709253
1.00E-05,2,DoublingTime,CAM,2,3,0.99996553,0.138580809,0.001390579,0.279072145
1.00E-05,2,GrowthYield,CAM,2,3,0.999991856,0.397043168,0.001413049,0.661995857
1.00E-05,2,DoublingTime,CIP,0.002,1,0.999911798,0.107332256,0.001355897,0.16733021
1.00E-05,2,GrowthYield,CIP,0.002,1,0.999963933,0.186754749,0.001419121,0.289813037
1.00E-05,2,DoublingTime,CIP,0.004,2,0.999961338,0.169503484,0.001318829,0.226024001
1.00E-05,2,GrowthYield,CIP,0.004,2,0.999990918,0.292811581,0.001386332,0.576545909
1.00E-05,2,DoublingTime,CIP,0.008,3,0.999916369,0.050936421,0.00135804,0.163754008
1.00E-05,2,GrowthYield,CIP,0.008,3,0.999994112,0.487994508,0.001463203,0.935598233
1.00E-05,2,DoublingTime,CTX,0.5,1,0.999949442,0.215691111,0.001314361,0.179784684
1.00E-05,2,GrowthYield,CTX,0.5,1,0.999996507,0.569123987,0.001487967,1.554843616
1.00E-05,2,DoublingTime,CTX,1,2,0.999928524,0.186699098,0.001313032,0.161250867
1.00E-05,2,GrowthYield,CTX,1,2,0.999995988,0.585534066,0.001484279,1.638225095
1.00E-05,2,DoublingTime,CTX,2,3,0.999953594,0.456128442,0.001352791,0.171927685
1.00E-05,2,GrowthYield,CTX,2,3,0.999997206,0.577587215,0.001542342,1.792941226
1.00E-05,2,DoublingTime,KAN,4,1,0.99989617,0.129624749,0.001390735,0.144662353
1.00E-05,2,GrowthYield,KAN,4,1,0.999985409,0.364194649,0.001404427,0.500799943
