Sample_Identification,Provider,Study_Number,Sample_Accession,Experiment_Accession,Run_Accession,Median_DoublingTime_NoAntimicrbial,Median_GrowthYield_NoAntimicrbial,Median_DoublingTime_CAM_0.5,Median_GrowthYield_CAM_0.5,Median_DoublingTime_CAM_1,Median_GrowthYield_CAM_1,Median_DoublingTime_CAM_2,Median_GrowthYield_CAM_2,Median_DoublingTime_CIP_0.002,Median_GrowthYield_CIP_0.002,Median_DoublingTime_CIP_0.004,Median_GrowthYield_CIP_0.004,Median_DoublingTime_CIP_0.008,Median_GrowthYield_CIP_0.008,Median_DoublingTime_CTX_0.5,Median_GrowthYield_CTX_0.5,Median_DoublingTime_CTX_1,Median_GrowthYield_CTX_1,Median_DoublingTime_CTX_2,Median_GrowthYield_CTX_2,Median_DoublingTime_KAN_4,Median_GrowthYield_KAN_4,Median_DoublingTime_KAN_8,Median_GrowthYield_KAN_8,Median_DoublingTime_KAN_16,Median_GrowthYield_KAN_16,Median_DoublingTime_TET_0.3,Median_GrowthYield_TET_0.3,Median_DoublingTime_TET_0.6,Median_GrowthYield_TET_0.6,Median_DoublingTime_TET_1.25,Median_GrowthYield_TET_1.25,Median_DoublingTime_TRIM_0.125,Median_GrowthYield_TRIM_0.125,Median_DoublingTime_TRIM_0.25,Median_GrowthYield_TRIM_0.25,Median_DoublingTime_TRIM_0.5,Median_GrowthYield_TRIM_0.5,StandardDeviation_DoublingTime_NoAntimicrbial,StandardDeviation_GrowthYield_NoAntimicrobial,StandardDeviation_DoublingTime_CAM_0.5,StandardDeviation_GrowthYield_CAM_0.5,StandardDeviation_DoublingTime_CAM_1,StandardDeviation_GrowthYield_CAM_1,StandardDeviation_DoublingTime_CAM_2,StandardDeviation_GrowthYield_CAM_2,StandardDeviation_DoublingTime_CIP_0.002,StandardDeviation_GrowthYield_CIP_0.002,StandardDeviation_DoublingTime_CIP_0.004,StandardDeviation_GrowthYield_CIP_0.004,StandardDeviation_DoublingTime_CIP_0.008,StandardDeviation_GrowthYield_CIP_0.008,StandardDeviation_DoublingTime_CTX_0.5,StandardDeviation_GrowthYield_CTX_0.5,StandardDeviation_DoublingTime_CTX_1,StandardDeviation_GrowthYield_CTX_1,StandardDeviation_DoublingTime_CTX_2,StandardDeviation_GrowthYield_CTX_2,StandardDeviation_DoublingTime_KAN_4,StandardDeviation_GrowthYield_KAN_4,StandardDeviation_DoublingTime_KAN_8,StandardDeviation_GrowthYield_KAN_8,StandardDeviation_DoublingTime_KAN_16,StandardDeviation_GrowthYield_KAN_16,StandardDeviation_DoublingTime_TET_0.3,StandardDeviation_GrowthYield_TET_0.3,StandardDeviation_DoublingTime_TET_0.6,StandardDeviation_GrowthYield_TET_0.6,StandardDeviation_DoublingTime_TET_1.25,StandardDeviation_GrowthYield_TET_1.25,StandardDeviation_DoublingTime_TRIM_0.125,StandardDeviation_GrowthYield_TRIM_0.125,StandardDeviation_DoublingTime_TRIM_0.25,StandardDeviation_GrowthYield_TRIM_0.25,StandardDeviation_DoublingTime_TRIM_0.5,StandardDeviation_GrowthYield_TRIM_0.5
24742_1#10,Carl-Fredrik Flach,PRJEB23294,SAMEA104369965,ERX3134704,ERR3061903,-0.065925943,-0.862392426,0.039925949,-0.085780107,0.121198073,-0.334088122,-0.00690332,-0.232961921,-0.005305555,0.351886,-0.084514799,1.546331937,-0.175427257,2.010027645,0.049717345,0.529073313,0.068846173,0.65326023,-0.065860547,1.510207459,0.107128822,0.797478159,0.033043859,1.562776489,-0.424217376,0.732692106,-0.345454464,1.04285039,-0.676210474,3.700507703,-0.394519699,3.218223408,-0.116235787,-1.051727073,-0.168616805,-0.194961959,-0.341938797,0.645243488,0.043508916,0.056703551,0.078559839,0.103152204,0.084488165,0.136327497,0.195319685,0.14731066,0.13777314,0.304908925,0.130834032,0.330196285,0.111893728,0.431410431,0.140632938,0.344812894,0.134057543,0.41158863,0.173339554,0.311773567,0.244021779,0.315083922,0.246392417,0.444346727,0.252775161,0.513072291,0.309767074,0.409680683,0.536421345,0.76276484,0.279415916,0.513158801,0.139677346,0.374942066,0.135054642,0.434147441,0.161882992,0.362145028
24742_1#100,Jan Michiels,PRJEB23294,SAMEA104370092,ERX3134794,ERR3061993,-0.301375481,-1.34034398,-0.156762046,0.028447947,-0.14764891,0.45782215,-0.683074353,1.318935146,-0.309750473,0.937637372,-0.490722715,2.904638164,-0.533793591,3.631367022,-0.344452317,0.4181857,-0.158750993,0.231004966,0.032842414,0.122730625,-0.184734313,2.208880845,-0.534679837,3.709239068,-1.057426574,2.627346129,-0.229484609,1.56435215,-0.627828702,3.3871233,-0.758915827,4.367548802,-0.073538893,-0.708520677,-0.114833865,-0.475007623,-0.177975897,0.828029716,0.099507704,0.127977509,0.123743715,0.169455374,0.187426151,0.218964273,0.154637772,0.250886727,0.103120762,0.267172681,0.188822587,0.347835219,0.166661485,0.592744099,0.147389428,0.341797609,0.170763106,0.322817811,0.146199641,0.355414566,0.267182446,0.323996455,0.274883814,0.734794454,0.309388975,0.428744108,0.172287364,0.239610014,0.185506064,0.270374884,0.223887062,0.791337923,0.231417015,0.406702097,0.262441789,0.407603029,0.243865811,0.965537619
24742_1#101,Jan Michiels,PRJEB23294,SAMEA104370093,ERX3134795,ERR3061994,-0.201589388,-1.256978402,-0.16443663,0.083912948,-0.096740824,0.611471772,-0.363890593,1.563684036,-0.349936681,1.010783017,-0.011580892,2.871732041,-0.34426408,3.331497976,-0.332687945,0.366615791,-0.317474532,0.360381902,-0.065071454,0.676618664,-0.060049612,0.941253296,-0.134446489,2.179204534,-0.514978185,1.687670672,0.128778137,1.432473906,-0.546178606,2.589212991,-0.491863588,4.51150587,0.081394763,0.031585389,-0.194622738,0.428920752,-0.164859158,2.214183556,0.162704187,0.144035509,0.22312487,0.165514566,0.173612829,0.171935347,0.188972928,0.320872931,0.252715542,0.345071313,0.228668587,0.638540716,0.202355501,0.623884553,0.161046723,0.234171193,0.160363046,0.420157411,0.229981645,0.463657642,0.212924203,0.276331399,0.2035666,0.507354405,0.224452709,0.613818251,0.267769639,0.24169935,0.297562428,0.550369255,0.288406708,0.764569444,0.18174262,0.214925876,0.15788651,0.383321695,0.235311369,0.369832013
24742_1#102,Jan Michiels,PRJEB23294,SAMEA104370094,ERX3134796,ERR3061995,-1.249315124,-2.376152832,-0.2948916,0.202282118,-0.247942722,0.636689098,-0.433923626,1.933681299,-0.100315725,1.363959715,0.112546265,3.717911755,-0.17350443,4.33228017,-0.281167842,0.960682653,-0.193616509,1.134821346,-0.411822515,0.610728466,-0.20606832,1.110163394,-0.361366792,1.22042061,-0.711994893,0.113814353,-0.22821533,1.410187397,-0.683756335,3.32460312,-1.092796031,3.495762106,-0.042574866,-0.061217078,-0.264106979,0.099555303,-0.599438515,0.837686249,0.111152007,0.11576015,0.16180287,0.199616377,0.22399554,0.250847205,0.184548574,0.295855489,0.633570541,0.281316546,0.219733958,0.603593754,0.125998352,0.571619538,0.241108354,0.338827389,0.162912092,0.436423292,0.958950533,0.401775992,0.441234051,0.290365255,0.193593391,0.427777323,0.264605247,0.783866055,0.239616248,0.228105744,0.285543595,0.603018135,0.201525431,0.489024191,0.547718951,0.805308125,0.191794309,0.444111109,0.282891885,0.847698586
24742_1#104,Jan Michiels,PRJEB23294,SAMEA104370096,ERX3134798,ERR3061997,-0.957056009,-1.732701402,0.132935182,0.128855165,-0.032725568,0.492159477,-0.599483408,0.710009318,-0.044677141,1.285003578,0.111269799,2.855450806,-0.039077846,2.716551581,-0.479091612,1.415096646,-0.280941459,1.605796974,-0.391897175,1.852035572,-0.118110692,0.561544522,-0.192918015,0.765663481,-0.411930635,0.013926771,-0.395785803,0.881307981,-0.872142592,2.398923625,-1.065621599,2.914148953,0.12792267,-0.109005166,-0.156704307,-0.670453134,-0.286317657,-0.490522743,0.256248962,0.21226729,0.315938863,0.326576591,0.318403391,0.230107691,0.300242473,0.337145526,0.15198055,0.158112273,0.257990558,0.730394641,0.177537951,1.07953873,0.206320171,0.464773776,0.14400613,0.494887009,0.525395821,0.517528635,0.327741632,0.480683742,0.387771453,0.951572467,0.145427614,0.965385999,0.324922443,0.596424895,0.357320918,0.438404421,0.298579582,0.369937159,0.390259058,0.780794017,0.286408855,0.473659238,0.307078825,0.53499516
24742_1#105,Jan Michiels,PRJEB23294,SAMEA104370097,ERX3134799,ERR3061998,-1.009504655,-1.872810949,0.335236334,0.521208291,-0.200093294,0.385222652,-0.577431636,1.192060686,-0.065371477,1.457760384,0.166620996,3.360219126,-0.258215388,4.055773773,-0.432201431,-0.036946785,-0.235881588,0.584750343,-0.342150292,1.58937204,-0.184722845,0.941818561,-0.150268011,0.702877481,-0.697715936,-0.592612923,-0.122767194,1.177397128,-0.589135005,3.005290555,-0.744911528,3.624442791,-0.033904359,0.250857323,0.091758087,1.311948232,-0.477360123,1.751057851,0.198761418,0.256103959,0.298971327,0.311969891,0.253491604,0.330645444,0.252576805,0.319569902,0.176244619,0.551021553,0.230077438,0.761982253,0.229826497,1.173819497,0.29281609,0.421604982,0.283750559,0.41284664,0.221436724,0.468894113,0.190470541,0.359724375,0.32458675,0.93903789,0.382299225,1.318120482,0.15859847,0.240649399,0.280592481,0.813091699,0.205232363,0.740893996,0.365753323,0.613210938,0.341406668,0.755443344,0.304684253,0.741176145
24742_1#106,Jan Michiels,PRJEB23294,SAMEA104370098,ERX3134800,ERR3061999,0.081234982,-0.787737009,0.090791841,0.152527579,-0.070775634,0.660756325,-0.597051367,1.336063253,-0.102303242,1.05759087,-0.537516596,2.341667201,-0.249359037,4.22854591,-0.238068561,1.263900411,-0.189847291,1.21564093,-0.139157916,1.13766576,-0.246470902,1.386458466,-0.410028504,2.761448005,-0.826405086,2.990601266,-0.034311831,1.498291378,-0.8460064,2.892371147,-0.708872087,4.187557819,-0.056820149,-0.668735022,-0.078914331,0.670295354,-0.348424914,2.197755715,0.144382561,0.128602727,0.15321247,0.198628887,0.172111136,0.237058206,0.152881268,0.426650225,0.151877162,0.375420024,0.278377893,0.828943685,0.204422013,0.842054755,0.16181987,0.302807081,0.108680026,0.254668807,0.12521847,0.325671354,0.238673124,0.34479518,0.222037576,0.552341094,0.271817416,0.536065404,0.227896705,0.22890157,0.207510117,0.439211855,0.42075602,0.603343073,0.164482475,0.59535919,0.244095503,0.282155502,0.168156586,0.428572298
24742_1#107,Jan Michiels,PRJEB23294,SAMEA104370099,ERX3134801,ERR3062000,-0.020990922,-1.619577419,-0.088702342,-0.273584461,-0.053911106,-0.043084261,-0.55272426,0.808948369,-0.17777073,1.074141927,-0.191657967,2.76883827,-0.246048033,3.505532812,-0.156358827,1.60746923,-0.138342367,1.666106496,-0.17677018,0.483616602,-0.187896641,1.314277718,-0.483847521,2.285357685,-1.009707078,3.350783196,-0.145036618,1.004520454,-0.373982321,2.279707506,-0.21626739,4.01241028,0.159608918,-0.46618109,0.093660734,0.649135948,-0.131225054,0.967998928,0.056713883,0.155072867,0.127306611,0.244960535,0.123165391,0.246746044,0.176368972,0.372308408,0.210173494,0.324250435,0.231165158,0.497475566,0.240727197,0.451612743,0.14833655,0.393348045,0.164020445,0.387294285,0.284024311,0.500607648,0.156938786,0.254947961,0.170129922,0.462053781,0.257037879,0.727418309,0.201506189,0.258870171,0.233459293,0.444908173,0.426791029,0.964808423,0.278595981,0.851358127,0.152805119,0.536317271,0.201560941,0.306165927
24742_1#108,Jan Michiels,PRJEB23294,SAMEA104370100,ERX3134802,ERR3062001,-0.106191415,-1.421690201,0.076618723,-0.179058344,0.067787233,0.196424376,-0.37606802,0.959289154,-0.094973721,1.261440206,-0.380750797,3.241449868,-0.34056975,4.928047332,-0.233339373,1.550583053,-0.212766616,1.297518373,-0.355084599,0.267431455,-0.122436939,1.85834125,-0.254541842,3.452196489,-0.822462911,3.935311563,-0.365394829,1.362189225,-0.770419517,3.549285224,-1.130053848,4.833363281,-0.131564227,0.359985062,-0.044924129,0.921615404,-0.16246207,2.73333075,0.153644283,0.182099948,0.170351364,0.307244218,0.165687408,0.302108303,0.199669417,0.407798882,0.08852134,0.245139222,0.132672845,0.422330264,0.191414845,0.760898144,0.109758449,0.384220889,0.158419902,0.290070887,0.231885154,0.360065182,0.170906275,0.264356217,0.192058169,0.325192288,0.228121499,0.566536356,0.264385485,0.436791632,0.192017734,0.23605181,0.305188278,0.45334164,0.147697823,0.43080941,0.325816017,0.224379199,0.288482764,0.639810283
24742_1#109,Jan Michiels,PRJEB23294,SAMEA104370101,ERX3134803,ERR3062002,-0.41589754,0.395597142,-0.024070392,0.463544566,-0.212461678,0.949418395,-0.742781304,1.473215941,0.053721548,1.17806651,0.015986335,2.773135914,-0.10484313,3.093503213,-0.248080325,-0.200194021,-0.313896658,0.455550893,-0.496435258,0.157690159,0.159766635,1.128987606,0.021021222,1.974422143,-0.516904199,3.110160233,-0.190670456,0.926604702,-0.301227995,2.019866991,-0.213015155,1.6992014,-0.196778293,0.478999816,-0.35703834,1.690368496,-0.236133648,3.478180918,0.199638881,0.15045341,0.215056778,0.274221484,0.228522901,0.469682828,0.25597233,0.290986475,0.254534136,0.260365192,0.278040714,0.88426358,0.249605037,0.522997327,0.314459934,0.35021825,0.425789764,0.961799228,0.318285509,0.355915803,0.509167068,0.705892512,0.423803598,0.811892535,0.596416967,0.720051575,0.169054114,0.161170684,0.143136605,0.274747375,0.201704234,0.777718689,0.408918059,0.509881293,0.397989439,0.466782243,0.370250042,0.615692034
